time, name, value, enum, units
"2019-03-26 16:40:14.128","EngineRPM","0","","RPM"
"2019-03-26 16:40:14.128","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:14.128","HighPressure","0.000000","","psi"
"2019-03-26 16:40:14.128","LowPressure","0.000000","","psi"
"2019-03-26 16:40:14.129","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:14.129","TotalBarrels","0","","bbl"
"2019-03-26 16:40:16.228","EngineRPM","0","","RPM"
"2019-03-26 16:40:16.228","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:16.228","HighPressure","0.000000","","psi"
"2019-03-26 16:40:16.228","LowPressure","0.000000","","psi"
"2019-03-26 16:40:16.230","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:16.230","TotalBarrels","0","","bbl"
"2019-03-26 16:40:18.328","EngineRPM","0","","RPM"
"2019-03-26 16:40:18.328","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:18.328","HighPressure","0.000000","","psi"
"2019-03-26 16:40:18.328","LowPressure","0.000000","","psi"
"2019-03-26 16:40:18.328","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:18.328","TotalBarrels","0","","bbl"
"2019-03-26 16:40:20.428","EngineRPM","0","","RPM"
"2019-03-26 16:40:20.428","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:20.428","HighPressure","0.000000","","psi"
"2019-03-26 16:40:20.428","LowPressure","0.000000","","psi"
"2019-03-26 16:40:20.428","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:20.428","TotalBarrels","0","","bbl"
"2019-03-26 16:40:22.528","EngineRPM","0","","RPM"
"2019-03-26 16:40:22.528","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:22.528","HighPressure","0.000000","","psi"
"2019-03-26 16:40:22.528","LowPressure","0.000000","","psi"
"2019-03-26 16:40:22.528","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:22.528","TotalBarrels","0","","bbl"
"2019-03-26 16:40:24.628","EngineRPM","0","","RPM"
"2019-03-26 16:40:24.628","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:24.628","HighPressure","0.000000","","psi"
"2019-03-26 16:40:24.628","LowPressure","0.000000","","psi"
"2019-03-26 16:40:24.628","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:24.628","TotalBarrels","0","","bbl"
"2019-03-26 16:40:26.728","EngineRPM","0","","RPM"
"2019-03-26 16:40:26.728","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:26.728","HighPressure","0.000000","","psi"
"2019-03-26 16:40:26.728","LowPressure","0.000000","","psi"
"2019-03-26 16:40:26.728","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:26.728","TotalBarrels","0","","bbl"
"2019-03-26 16:40:28.827","EngineRPM","0","","RPM"
"2019-03-26 16:40:28.827","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:28.827","HighPressure","0.000000","","psi"
"2019-03-26 16:40:28.827","LowPressure","0.000000","","psi"
"2019-03-26 16:40:28.828","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:28.828","TotalBarrels","0","","bbl"
"2019-03-26 16:40:30.827","EngineRPM","0","","RPM"
"2019-03-26 16:40:30.827","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:30.827","HighPressure","0.000000","","psi"
"2019-03-26 16:40:30.827","LowPressure","0.000000","","psi"
"2019-03-26 16:40:30.928","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:30.928","TotalBarrels","0","","bbl"
"2019-03-26 16:40:32.927","EngineRPM","0","","RPM"
"2019-03-26 16:40:32.927","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:32.927","HighPressure","0.000000","","psi"
"2019-03-26 16:40:32.927","LowPressure","0.000000","","psi"
"2019-03-26 16:40:32.928","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:32.928","TotalBarrels","0","","bbl"
"2019-03-26 16:40:34.927","EngineRPM","0","","RPM"
"2019-03-26 16:40:34.927","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:34.927","HighPressure","0.000000","","psi"
"2019-03-26 16:40:34.927","LowPressure","0.000000","","psi"
"2019-03-26 16:40:34.928","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:34.928","TotalBarrels","0","","bbl"
"2019-03-26 16:40:36.927","EngineRPM","0","","RPM"
"2019-03-26 16:40:36.927","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:36.927","HighPressure","0.000000","","psi"
"2019-03-26 16:40:36.927","LowPressure","0.000000","","psi"
"2019-03-26 16:40:36.928","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:36.928","TotalBarrels","0","","bbl"
"2019-03-26 16:40:39.027","EngineRPM","0","","RPM"
"2019-03-26 16:40:39.027","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:39.027","HighPressure","0.000000","","psi"
"2019-03-26 16:40:39.027","LowPressure","0.000000","","psi"
"2019-03-26 16:40:39.028","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:39.028","TotalBarrels","0","","bbl"
"2019-03-26 16:40:41.127","EngineRPM","0","","RPM"
"2019-03-26 16:40:41.127","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:41.127","HighPressure","0.000000","","psi"
"2019-03-26 16:40:41.127","LowPressure","0.000000","","psi"
"2019-03-26 16:40:41.128","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:41.128","TotalBarrels","0","","bbl"
"2019-03-26 16:40:43.227","EngineRPM","0","","RPM"
"2019-03-26 16:40:43.227","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:43.227","HighPressure","0.000000","","psi"
"2019-03-26 16:40:43.227","LowPressure","0.000000","","psi"
"2019-03-26 16:40:43.228","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:43.228","TotalBarrels","0","","bbl"
"2019-03-26 16:40:45.227","EngineRPM","0","","RPM"
"2019-03-26 16:40:45.227","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:45.227","HighPressure","0.000000","","psi"
"2019-03-26 16:40:45.227","LowPressure","0.000000","","psi"
"2019-03-26 16:40:45.228","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:45.228","TotalBarrels","0","","bbl"
"2019-03-26 16:40:47.327","EngineRPM","0","","RPM"
"2019-03-26 16:40:47.327","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:47.327","HighPressure","625.000000","","psi"
"2019-03-26 16:40:47.327","LowPressure","0.000000","","psi"
"2019-03-26 16:40:47.328","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:47.328","TotalBarrels","0","","bbl"
"2019-03-26 16:40:49.427","EngineRPM","0","","RPM"
"2019-03-26 16:40:49.427","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:49.427","HighPressure","625.000000","","psi"
"2019-03-26 16:40:49.427","LowPressure","0.000000","","psi"
"2019-03-26 16:40:49.428","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:49.428","TotalBarrels","0","","bbl"
"2019-03-26 16:40:51.427","EngineRPM","0","","RPM"
"2019-03-26 16:40:51.427","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:51.427","HighPressure","625.000000","","psi"
"2019-03-26 16:40:51.427","LowPressure","31.000000","","psi"
"2019-03-26 16:40:51.528","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:51.528","TotalBarrels","0","","bbl"
"2019-03-26 16:40:53.527","EngineRPM","0","","RPM"
"2019-03-26 16:40:53.527","OutletTemperature","0.000000","","fahrenheit"
"2019-03-26 16:40:53.527","HighPressure","625.000000","","psi"
"2019-03-26 16:40:53.527","LowPressure","31.000000","","psi"
"2019-03-26 16:40:53.528","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:53.528","TotalBarrels","0","","bbl"
"2019-03-26 16:40:55.527","EngineRPM","0","","RPM"
"2019-03-26 16:40:55.527","OutletTemperature","12.000000","","fahrenheit"
"2019-03-26 16:40:55.527","HighPressure","625.000000","","psi"
"2019-03-26 16:40:55.527","LowPressure","31.000000","","psi"
"2019-03-26 16:40:55.628","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:55.628","TotalBarrels","0","","bbl"
"2019-03-26 16:40:57.627","EngineRPM","0","","RPM"
"2019-03-26 16:40:57.627","OutletTemperature","12.000000","","fahrenheit"
"2019-03-26 16:40:57.627","HighPressure","625.000000","","psi"
"2019-03-26 16:40:57.627","LowPressure","31.000000","","psi"
"2019-03-26 16:40:57.628","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:57.628","TotalBarrels","0","","bbl"
"2019-03-26 16:40:59.727","EngineRPM","0","","RPM"
"2019-03-26 16:40:59.727","OutletTemperature","12.000000","","fahrenheit"
"2019-03-26 16:40:59.727","HighPressure","625.000000","","psi"
"2019-03-26 16:40:59.727","LowPressure","31.000000","","psi"
"2019-03-26 16:40:59.728","FlowRate","0.000000","","BPM"
"2019-03-26 16:40:59.728","TotalBarrels","0","","bbl"
"2019-03-26 16:41:01.827","EngineRPM","0","","RPM"
"2019-03-26 16:41:01.827","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:01.827","HighPressure","625.000000","","psi"
"2019-03-26 16:41:01.827","LowPressure","31.000000","","psi"
"2019-03-26 16:41:01.828","FlowRate","0.000000","","BPM"
"2019-03-26 16:41:01.828","TotalBarrels","0","","bbl"
"2019-03-26 16:41:03.827","EngineRPM","0","","RPM"
